trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'e': 0.4356824462767121, 'a': 0.7}",20,15,2.75381473764069,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.42665980793015723, 'a': 0.7}",20,10,-2.344853567336739,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
114,False,"{'e': 0.41759450395835795, 'a': 0.7}",20,13,-13.77754246230058,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
115,False,"{'e': 0.40848744088415717, 'a': 0.7}",25,17,-4.452779733624098,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'e': 0.3993395294062732, 'a': 0.7}",30,18,3.2551507453640682,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'e': 0.3901516843082303, 'a': 0.7}",20,0,7.993013697233552,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
118,False,"{'e': 0.38092482436688185, 'a': 0.7}",35,8,-30.80667909761132,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 1}",1
119,False,"{'e': 0.371659872260533, 'a': 0.7}",25,0,-3.4318954262727166,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
120,False,"{'e': 0.3623577544766736, 'a': 0.7}",25,10,6.553351837497479,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
121,False,"{'e': 0.3530194012193304, 'a': 0.7}",25,0,11.080156882032023,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
122,False,"{'e': 0.34364574631604705, 'a': 0.7}",20,0,-68.69348208923859,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
123,False,"{'e': 0.3342377271245026, 'a': 0.7}",20,12,5.884435554489791,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'e': 0.32479628443877623, 'a': 0.7}",30,0,15.901999946965503,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
125,False,"{'e': 0.3153223623952687, 'a': 0.7}",25,0,-16.384788723378108,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
126,False,"{'e': 0.30581690837828934, 'a': 0.7}",35,22,-10.391131313178763,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 0}",1
127,False,"{'e': 0.29628087292531874, 'a': 0.7}",20,0,-4.750102375470924,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
128,False,"{'e': 0.2867152096319555, 'a': 0.7}",25,18,-0.8386418688795647,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'e': 0.2771208750565576, 'a': 0.7}",25,14,18.752630223417913,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.26749882862458735, 'a': 0.7}",25,5,-27.394414639286797,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
131,False,"{'e': 0.25785003253266964, 'a': 0.7}",25,11,13.239843930144113,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.2481754516523729, 'a': 0.7}",20,16,7.422636855967831,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.23847605343372313, 'a': 0.7}",35,13,37.093591544087104,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'e': 0.22875280780845939, 'a': 0.7}",20,5,14.368971089432154,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'e': 0.2190066870930415, 'a': 0.7}",20,10,-14.647584469361089,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'e': 0.20923866589141926, 'a': 0.7}",25,13,6.7425213183648225,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
137,False,"{'e': 0.19944972099757285, 'a': 0.7}",25,15,7.95889604339305,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'e': 0.18964083129783424, 'a': 0.7}",20,14,6.257928170346386,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.17981297767299936, 'a': 0.7}",20,7,-18.096874382634667,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'e': 0.16996714290024081, 'a': 0.7}",30,16,2.6607056147836428,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
141,False,"{'e': 0.16010431155483126, 'a': 0.7}",20,16,8.372798724544067,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.15022546991168584, 'a': 0.7}",30,18,23.5382675292738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.14033160584673673, 'a': 0.7}",25,17,-23.78887545954313,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'e': 0.13042370873814554, 'a': 0.7}",30,0,36.04036136555742,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'e': 0.12050276936736662, 'a': 0.7}",20,12,15.410011202045307,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.11056977982006959, 'a': 0.7}",30,14,25.849490178171262,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.10062573338693173, 'a': 0.7}",25,15,18.782316203481653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.09067162446430968, 'a': 0.7}",25,3,-21.365729566203093,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'e': 0.08070844845480063, 'a': 0.7}",30,18,20.779459797908594,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.0707372016677029, 'a': 0.7}",25,10,6.952597871433776,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'e': 0.0607588812193859, 'a': 0.7}",20,0,29.05143551748068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
152,False,"{'e': 0.05077448493357918, 'a': 0.7}",20,0,25.494957275662525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'e': 0.040785011241591035, 'a': 0.7}",20,16,7.666798977844489,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'e': 0.03079145908246612, 'a': 0.7}",20,13,11.275774285264376,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.020794827803092428, 'a': 0.7}",20,11,18.85442592902586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'e': 0.010796117058267392, 'a': 0.7}",20,0,34.814335197126795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",30,15,28.505329836593774,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,14,10.27738396551673,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,16,18.961174761943326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",20,14,7.623390612531797,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",30,13,30.72553493495943,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,7,25.234599608552557,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",20,3,28.152441648746645,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",35,21,25.82218352723658,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,6,23.40747217994515,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,12,12.983683503668729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
